epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2363.88,1.08973,3.40322,1.79708,0.51397,0.66005,0.56679,0.40757,0.9974,2.69507,1.76741,0.000255873,0.000255873,0.000255873
2,4481.18,0.93705,2.17818,1.6049,0.73891,0.80374,0.8938,0.58749,1.08597,1.93562,1.8378,0.000461498,0.000461498,0.000461498
3,6582.2,0.9018,1.45985,1.56015,0.95509,0.9473,0.97823,0.72777,0.99318,1.09489,1.70217,0.000616369,0.000616369,0.000616369
4,8686.55,0.8571,1.04868,1.52069,0.92238,0.94389,0.97327,0.73228,0.91526,0.99351,1.61649,0.000540607,0.000540607,0.000540607
5,10798.3,0.8283,0.83996,1.48894,0.95174,0.94305,0.97345,0.74616,0.88825,0.77391,1.57083,0.000464476,0.000464476,0.000464476
6,12910.6,0.80168,0.71464,1.44024,0.96596,0.96074,0.98339,0.7498,0.89945,0.73424,1.58758,0.000388345,0.000388345,0.000388345
7,15005.5,0.78685,0.63245,1.42843,0.96575,0.96186,0.98464,0.75345,0.89999,0.71227,1.58119,0.000312214,0.000312214,0.000312214
8,17080.9,0.75775,0.56269,1.39807,0.97039,0.97608,0.9832,0.75982,0.87544,0.63428,1.53952,0.000236083,0.000236083,0.000236083
9,19173,0.73159,0.51683,1.37319,0.97876,0.97289,0.98681,0.78068,0.8265,0.61411,1.47347,0.000159952,0.000159952,0.000159952
10,21282.8,0.7058,0.48116,1.35089,0.97864,0.98246,0.98795,0.7865,0.81541,0.56262,1.47037,8.3821e-05,8.3821e-05,8.3821e-05
